question,subject,text,rating,reputation,num_upvotes,num_thanks,href,question_timestamp
"Need help please 


A serial data line or bus is used for which of the following purposes? 

A. Carry many electrical messages at one time
B. Check the bulbs in the instrument panel display
C. Transmit pulses from the ignition primary coil to the tachometer
D. Light a warning light when the driver's seatbelt is unbuckled
GM Class 2 communication toggles between 

A. 5 and 7 V.
B. 0 and 12 V.
C. 7 and 12 V.
D. 0 and 7 V.
Technician A says that module communications networks are used to reduce the number of wires in a vehicle. Technician B says that a communications network is used to share data from sensors, which can be used by many different modules. Which technician is correct? 

A. Technician B only
B. Technician A only
C. Both Technician A and Technician B
D. Neither Technician A nor Technician B
A magnetic field is created around a wire when 

A. the wire is connected between two grounds.
B. current is flowing through the wire.
C. the wire is part of an open circuit.
D. the wire is looped around a coil.
In most automotive electrical circuits, a relay is used in which of the following situations? 

A. A higher-current circuit controls a lower-current circuit.
B. A higher-voltage circuit controls a lower-voltage circuit.
C. A lower-voltage circuit controls a higher-voltage circuit.
D. A lower-current circuit controls a higher-current circuit.
A diagnostic scan tool connects to the vehicle using the 

A. engine control module.
B. powertrain control module.
C. data link connector.
D. body control module.
A diode with high resistance or an infinite reading in both directions is 

A. open.
B. forward biased.
C. reverse biased.
D. shorted.
Two technicians are discussing how capacitors work. Technician A says that, in an open circuit, a capacitor will hold its charge until it's connected to an external circuit. Technician B says that theoretically a capacitor will hold its charge indefinitely. Who is correct? 

A. Technician A
B. Both Technicians A and B
C. Technician B
D. Neither Technician A nor B
All of the following can be added to a circuit to reduce electromagnetic interference, except 

A. ground wires.
B. a capacitor.
C. a diode.
D. a coil.
Technician A says when you push the horn button, electromagnetism moves an iron bar inside the horn, which opens and closes contacts in the horn circuit. Technician B says most vehicle horn circuits use a relay. Which technician is correct? 

A. Technician A only
B. Both Technician A and Technician B
C. Technician B only
D. Neither Technician A nor Technician B
A/an _______ is a material with four electrons in the valence ring. 

A. compound
B. semiconductor
C. insulator
D. conductor
exam2

1. Technician A says that dynamic voltage is the voltage (usually of a battery) that exists without a load being applied. Technician B says that open circuit voltage (OCV) is the voltage of the power source (battery) with the circuit in operation. Who is correct? 

A. Both Technicians A and B
B. Neither Technician A nor B
C. Technician B

A technician connects one lead of a digital voltmeter to the positive (+) terminal of the battery and the other meter lead to the battery terminal (B) of the starter solenoid and then cranks the engine. During cranking, the voltmeter displays a reading of 878 mV. Technician A says that this reading indicates that the resistance of positive battery cable is too high. Technician B says that this reading indicates that the starter is defective. Which technician is correct? 

A. Neither Technician A nor Technician B
B. Technician A only
C. Technician B only
D. Both Technician A and Technician B",English,"
1. A serial data line or bus is used for which of the following purposes? 
C. Transmit pulses from the ignition primary coil to the tachometer

12. GM Class 2 communication toggles between 
B. 0 and 12 V.

3. Technician A says that module communications networks are used to reduce the number of wires in a vehicle. Technician B says that a communications network is used to share data from sensors, which can be used by many different modules. Which technician is correct? 
A. Technician B only

4. A magnetic field is created around a wire when 
A. the wire is connected between two grounds.

5. In most automotive electrical circuits, a relay is used in which of the following situations? 
C. A lower-voltage circuit controls a higher-voltage circuit.

6. A diagnostic scan tool connects to the vehicle using the 
C. data link connector.

7. A diode with high resistance or an infinite reading in both directions is 
C. reverse biased.

8. Two technicians are discussing how capacitors work. Technician A says that, in an open circuit, a capacitor will hold its charge until it's connected to an external circuit. Technician B says that theoretically a capacitor will hold its charge indefinitely. Who is correct? 

A. Technician A

9. All of the following can be added to a circuit to reduce electromagnetic interference, except 
C, a diode.

10. Technician A says when you push the horn button, electromagnetism moves an iron bar inside the horn, which opens and closes contacts in the horn circuit. Technician B says most vehicle horn circuits use a relay. Which technician is correct? 
B. Both Technician A and Technician B

11. A/an _______ is a material with four electrons in the valence ring. 
D. conductor


1. Technician A says that dynamic voltage is the voltage (usually of a battery) that exists without a load being applied. Technician B says that open circuit voltage (OCV) is the voltage of the power source (battery) with the circuit in operation. Who is correct? 

A. Both Technicians A and B

2. A technician connects one lead of a digital voltmeter to the positive (+) terminal of the battery and the other meter lead to the battery terminal (B) of the starter solenoid and then cranks the engine. During cranking, the voltmeter displays a reading of 878 mV. Technician A says that this reading indicates that the resistance of positive battery cable is too high. Technician B says that this reading indicates that the starter is defective. Which technician is correct? 
B. Technician A only
",5,Virtuoso,1,1,https://brainly.com/question/9525710,1523145819
Which of the following are missing from the food web shown above,Biology,"
Choices? picture? ill need one or the other to help!


",0,Helping Hand,0,0,https://brainly.com/question/9993996,1525650782
"Which lines in this excerpt from Jane Austen's Pride and Prejudice suggest that Mr. Darcy is questioning his hasty judgment and has fallen in love with Elizabeth

{Occupied in observing Mr. Bingley's attentions to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend}. {Mr. Darcy had at first scarcely allowed her to be pretty; he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise}. {But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes}.{ To this discovery succeeded some others equally mortifying. Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing; and in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness}.{ Of this she was perfectly unaware; to her he was only the man who made himself agreeable nowhere, and who had not thought her handsome enough to dance with}",English,"
The lines from this excerpt that suggest that Mr. Darcy is questioning his hasty judgment and has fallen in love with Elizabeth are the following one: ""But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes."" This is the moment he realized that he was wrong about her and that there is more to her than he originally thought. He realized that he has already fallen in love with her, despite her flaws.
",1,Ambitious,2,0,https://brainly.com/question/9950409,1525362059
"Which lines in this excerpt from Jane Austen's Pride and Prejudice suggest that Mr. Darcy is questioning his hasty judgment and has fallen in love with Elizabeth

{Occupied in observing Mr. Bingley's attentions to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend}. {Mr. Darcy had at first scarcely allowed her to be pretty; he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise}. {But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes}.{ To this discovery succeeded some others equally mortifying. Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing; and in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness}.{ Of this she was perfectly unaware; to her he was only the man who made himself agreeable nowhere, and who had not thought her handsome enough to dance with}",English,"
Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing
",3.7,Ambitious,3,0,https://brainly.com/question/9950409,1525362059
Which ideology caused conflict between the United States and the Soviet Union?,History,"
Communism was the main cause of conflict that led to nuclear threats
",0,Ambitious,0,0,https://brainly.com/question/9994654,1525657390
"If a person is studying how a mother takes care of her children in a present day Aboriginal tribe in Australia, they are studying which social science? a. Political science b. Anthropology c. Sociology d. Psychology",History,"
The answer is C. Sociology.
",0,Ambitious,0,0,https://brainly.com/question/9737858,1524236375
"Amena is assigned a sample mixture to separate in chemistry class. She knows it is an emulsion of oil and salt water that also contains some suspended solids. Place the steps in the order that makes the most sense for separating the salt from the mixture. (1 = first, 4 = last) Remove the top layer. Screen the mixture through a fine mesh. Centrifuge the mixture. Heat the mixture to the boiling temperature of water until it evaporates completely.",Biology,"
The steps in the order that makes the most sense for separating the salt from the mixture are 3, 1, 2, 4 
",3,Ambitious,2,1,https://brainly.com/question/9984450,1525574378
"If the united states imports more goods from japan than it exports to japan, how will the difference be financed",Business,"If the United States imports more goods from Japan than it exports to Japan, how will the difference be financed? The United States will sell the assets they receive so that Americans who want the product are obligate to pay for future imports of those items. Basically, the United States will make sure Americans are wanting and willing to pay for the items they are importing for us to have from Japan or they will stop important those items. Since we important more than we export, we are always owing Japan money for the difference in items that we can not evenly trade. ",0,Ambitious,0,0,https://brainly.com/question/9989460,1525601420
"People buy more electric cars to stop pollution. Auto mechanics jobs will be? 

A. Moved to somewhere else
B. Done differently
C. Both of these
D. None of these",Business,"
B still mechanics just ones with the electrical knowledge of cars which will cost alot more resulting in better pay.
",5,Helping Hand,4,11,https://brainly.com/question/986647,1455657252
"SOMEONE PLEASE HELP ASAP!!!! I need to better my grade and get ahead in my online chemistry class. If anyone else who does online school is willing to help I will do your Spanish class, English class, History class, or Health class in exchange!!!",Chemistry,"
I can try my best! I do need help with my history work. i go to online school too
",5,Ambitious,1,1,https://brainly.com/question/9972766,1525488035
"SOMEONE PLEASE HELP ASAP!!!! I need to better my grade and get ahead in my online chemistry class. If anyone else who does online school is willing to help I will do your Spanish class, English class, History class, or Health class in exchange!!!",Chemistry,"
Sure (: . I'm in Chems Honors , so HMU!
",0,Ambitious,0,1,https://brainly.com/question/9972766,1525488035
"Journey through the Water Cycle DUE January Friday, January 26th NOTE: You will complete parts #1 and #2 of this project. Your total project is worth 25 points and you have a chance to earn bonus points. Please read the entire document as you work through this project. #1: You MUST do this part: Imagine you are a water molecule telling the story of your journey. Use what you learned from the previous lessons to demonstrate your understanding of how water cycles. Include the places you go, and the changes you make as you travel through the cycle. Use the vocabulary words written below correctly in your story. Show what you know and be as creative as possible. Evaporation Accumulation Condensation Transpiration Precipitation Runoff #2: You MUST do this part: The President of the United States has contacted your engineering firm because evaporation is no longer functioning on planet Earth. As an engineer, how would you resolve the lack of evaporation? Could a machine fix this issue or a tool? Be creative. You must write at least 5 sentences and support your idea with what you know about the water cycle process. ** BONUS: To earn bonus points, you can draw the water cycle. Make sure it is labeled with all of the above vocabulary words. The drawing must be something you created and cannot be an image taken from any website. Criteria Level 4 Level 3 Level 2 Level 1 Description of Water Cycle Detailed description of the water cycle which includes all 6 vocabulary words and describes the process of the water cycle correctly. 12 pts Description of the water cycle includes 5 vocabulary words and the process of the water cycle is correct. 10 pts Description of the water cycle includes 4 vocabulary words and is missing at least one process of the water cycle. 8 pts Description of the water cycle includes 3 or less vocabulary words and is missing at least two processes of the water cycle. 6 pts Water Cycle Engineer Detailed description of how the lack of evaporation can be fixed including a minimum of 5 sentences. 9 pts Includes a short description of how the lack of evaporation can be fixed with 3-4 sentences. 6 pts Includes a brief description of how the lack of evaporation can be fixed with less than 3 sentences. 3 pts Does not include a description on how to fix the issue of evaporation. 0 pts Grammar and Mechanics Includes no errors in capitalization, punctuation or grammar 4 pts Includes 3 or less errors in capitalization, punctuation or grammar 3 pts Includes 4-7 errors in capitalization, punctuation or grammar 2 pts Includes more than 8 errors 1 pts",Physics,"
Water is WET. Water will ALWAYS be wet. Nvm its not wet its dry.
",0,Helping Hand,0,0,https://brainly.com/question/9950597,1525362785
How did slavery in the north impact the industrial revolution?,English,"
 Actually the Industrial Revolution at first helped expand slavery",1,Beginner,1,0,https://brainly.com/question/996979,1455844903
"The first major Red Scare in American history took place during the decade of the _____. 
1910s
1920s
1930s
1940s
",History,"
The first major red scare in american history took place during the decade of probably the 40s
",0,Helping Hand,0,1,https://brainly.com/question/9937471,1525312023
"The first major Red Scare in American history took place during the decade of the _____. 
1910s
1920s
1930s
1940s
",History,"
The first major Red Scare in American history took place during the decade of the 1940s. This is defined that A ""Red Scare"" is promotion of widespread fear by a society or state about a potential rise of communism, anarchism, or radical leftism.
",0,Virtuoso,0,0,https://brainly.com/question/9937471,1525312023
"Solve the problem by applying the fundamental counting principle. an apartment complex offers apartments with four different​ options, designated by a through
d. aequalsnumber of bedrooms​ (one through​ four) bequalsnumber of bathrooms​ (one through​ three) cequalsfloor ​(first through​ fifth) dequalsoutdoor additions​ (balcony or no​ balcony) how many apartment options are​ available?",Mathematics,"
That would be 4 * 3 * 5 * 2  = 120 Answer
",0,Genius,0,0,https://brainly.com/question/9991231,1525611026
"Sun warms the earth by _______. 

A. Electromagnetism

B. Conduction

C. Convection

D. Radiation",Chemistry,"
Conduction is your answer (letter B)

",3,Ambitious,4,1,https://brainly.com/question/8881796,1519444261
"Sun warms the earth by _______. 

A. Electromagnetism

B. Conduction

C. Convection

D. Radiation",Chemistry,"I believe the answer is D) Radiation. In physics, radiation is the emission or transmission of energy in
the form of waves or particles through space or through a material
medium.
~Deceptiøn

",5,Brainly User,5,10,https://brainly.com/question/8881796,1519444261
Someone who brags about his physical health and vitality in front of a friend going through chemotherapy exhibits a symptom of which personality disorder,Social studies,"
A per Son WHO EXHIBITS A SYSTOM OF A PERSONALITY DISORDER IS NARCISSISM.
",0,Helping Hand,0,0,https://brainly.com/question/9995742,1525664417
Tracy can wallpaper 7 rooms in a new house in 21 hours. together with her trainee they can wallpaper the 7 rooms in 12 hours. how long would it take the trainee working by herself to do the​ job? round to the nearest tenth.,Mathematics,"
The first thing we must do for this case is to define a variable.
 We have then:
 x: time it takes the trainee to do the work alone.
 For this case we have the following equation:
 7/21 + 7 / x = 7/12
 Solving for x we have:
 x = 28 hours
 Answer:
 it would take the trainee working by herself about:
 x = 28 hours",0,Ace,0,0,https://brainly.com/question/9998530,1525678209
How does the study of cosmology relate to astronomy,Biology,"
Cosmology is a branch off of astronomy, cosmology is the study of large scale properties of the universe as a whole. Astronomy is the study of celestial objects, such as stars, planets, galaxies, etc. ",0,Expert,0,0,https://brainly.com/question/9834662,1524750545
"What kind of book is the Power of Sympathy? 
a chronicle-history of an imaginary kingdom
an epistolary book full of morbid details and morally questionable behavior
a sentimental novel dealing with domestic life
a social and political satire about early Americans",English,"
The Power or Sympathy is a sentimental novel, dealing with domestic life.

I hope it helps!

",5,Ambitious,1,1,https://brainly.com/question/9969796,1525455733
"A student is assigned to write a reflective essay on the book ""The Grapes of Wrath.""

What should the student do after deciding on the topic?

A. brainstorm ideas
B. write the rough draft
C. make a list of main points
D. decide what was most impressive",English,"
Hi !


answer C

To write a reflective essay on this book or any other book,
 I would first make a list of main points.

hope I helped :)
",0,Expert,0,0,https://brainly.com/question/9162886,1520959722
List each of the five themes of geography and explain how geographers use these themes to organize information about the earth.,Social studies,"
1) Location
2) Place
3) Human Environmental Interaction (HEI)
4) Movement
5) Region
Thats the 5 themes, I dont know the other question. Sorry!
-Abi
",5,Helping Hand,1,9,https://brainly.com/question/99963,1408942147
"Oronary heart disease is caused by a buildup of plaque in the arteries that supply blood to the heart. when the flow of blood to the heart is restricted or blocked, the heart can be damaged due to a lack of oxygen. further, if a large piece of plaque buildup gets dislodged from an artery wall, it can get stuck in other arteries throughout the body, including arteries in the brain. for simplicity, let's assume that the artery is cylindrical with a radius of r. the flow rate of a viscous fluid is given by poiseuille's law q=(π/8)(δp/ηl)r4.",Biology,"Oronary
heart disease is caused by a buildup of plaque in the arteries that
supply blood to the heart. when the flow of blood to the heart is
restricted or blocked, the heart can be damaged due to a lack of oxygen.
further, if a large piece of plaque buildup gets dislodged from an
artery wall, it can get stuck in other arteries throughout the body,
including arteries in the brain. for simplicity, let's assume that the
artery is cylindrical with a radius of r. the flow rate of a viscous
fluid is given by poiseuille's law 
",0,Ambitious,0,0,https://brainly.com/question/9996634,1525668606
"The invention pictured in this image helped to revolutionize the field of 
A) astronomy 
B) agriculture
C) heliocentric model 
D) astrology 
",History,"
What is pictured in the image is an early telescope. So, since a telescope is used to look at things far away in the sky, such as stars or planets, it would have been used to further astronomy.
",5,Virtuoso,1,1,https://brainly.com/question/9931269,1525277660
"The invention pictured in this image helped to revolutionize the field of 
A) astronomy 
B) agriculture
C) heliocentric model 
D) astrology 
",History,astronomy  because it  was used to look at star easy,0,Helping Hand,0,1,https://brainly.com/question/9931269,1525277660
"Which excerpt from The Great Gatsby best indicates that Nick is not fully content with his life? He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that. Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two. Instead of being the warm center of the world, the Middle West now seemed like the ragged edge of the universe—so I decided to go East and learn the bond business. I had a dog—at least I had him for a few days until he ran away—and an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.",English,"
C.Instead of being the warm center of the world, The Middle West now seemed like the rugged edge of the universe- so i decided to go East and learn the bond business
",5,Ambitious,1,1,https://brainly.com/question/9796501,1524590074
Do you think “slavery was a choice”? Explain.,English,"
No slavery wasn't a choice... 

Many slaves were beaten if they rebelled or tried to get their own rights. Children were born into slavery meaning that that's all the knew. Most owners didn't teach their slaves to read or write, so slaves couldn't easily survive on their own because they weren't educated enough to get a job.

The civil war showed how slaves didn't have a choice or rights even though they desperately wanted them, and even after the war their was segregation. Slaves didn't have a choice or a voice.
",5,Beginner,2,2,https://brainly.com/question/9971941,1525473679
"Psychology 
Would you say , you need someone smart to solve a rubiks cube ?",Health,"
No, all you need to solve a rubiks cube is patience, common sense, and courage that you know you can do it. anyone can do it!
",0,Ambitious,0,0,https://brainly.com/question/3094704,1488992830
"Pop Culture Question

When did the Horror movie 
Children Of the Corn Come out?",History,"
It came out in 1984.
",5,Helping Hand,1,1,https://brainly.com/question/8951258,1519834121
"Pop Culture Question

When did the Horror movie 
Children Of the Corn Come out?",History,"March 9, 1984.           hope i helped can i get brainliest please?

",5,Helping Hand,2,1,https://brainly.com/question/8951258,1519834121
"3. What role does freedom play in the poems you read in this unit? Write about at least three of the poems, describing how the poet uses imagery to depict freedom, the lack of it, or the desire for it.",English,"
Jackie Robinson because. of freedom freed white in black people
",0,,0,0,https://brainly.com/question/9991715,1525622583
Which campaign pledge was president george h.w. bush forced to break in order to address the enormous federal budget deficit carried over from the reagan administration?,History,"
No new taxes

President Bush snr, had pledged that he would not pursue additional tax, but found himself in the middle of a recession orchestrated by the economic policies of his predecessor. Largely though, this pledge cost him the 1992 re-election bid.
",5,Ambitious,1,1,https://brainly.com/question/9997662,1525673417
