question,subject,text,rating,reputation,num_upvotes,num_thanks,href,question_timestamp
"What does this line of code in Python do?:
for i in range 100:
fd(200)
rt(91)
",Computers and technology,"This line of code tells the ""turtle"" to move forward 200 pixels and right 91°, 100 times.",5,Brainly User,1,2,https://brainly.com/question/953921,1454721408
"The terms provided apply to what game?
(Opening, Rank, File, fianchetto, and Sicilian?)
A. Checkers
B. American Football
C. La-cross
D. Chess
E. Chinese Go. 
F. Baseball
G. Football
",Arts,Those terms all apply to the game of chess.,3,Ambitious,3,4,https://brainly.com/question/999760,1455896451
"The terms provided apply to what game?
(Opening, Rank, File, fianchetto, and Sicilian?)
A. Checkers
B. American Football
C. La-cross
D. Chess
E. Chinese Go. 
F. Baseball
G. Football
",Arts,"These terms apply to the game of CHESS.
The terms mean different things from strategy to opening.
",3,Brainly User,2,2,https://brainly.com/question/999760,1455896451
"I NEED HELP RIGHT AWAY PLEASE!!!!!! 20 points
Read the passage below about acupuncture. 

Acupuncture is an alternative medicine that uses wire-thin needles inserted by a trained practitioner into specific points in the body. This ancient form of pain relief and stimulation is said to benefit patients by blocking channels which practitioners claim allow pain to travel within the body. This practice became more widely recognized and used after a New York Times reporter wrote in 1971 of a positive experience with it after surgery. 

Those who doubt the effectiveness of this treatment for pain attribute the pain relief to a placebo effect: if a patient believes something will reduce their pain, they will experience some relief. The National Institutes of Health says that acupuncture relieves pain and reduces nausea and vomiting, although it is unclear how it works. The few adverse effects reported are due to improperly sterilized needles or improper delivery, making this still a fairly low risk option. For anyone considering acupuncture, they should first research its effectiveness for their specific condition. 

-Summary of statements published by the National Institutes of Health

After reading the passage about acupuncture, identify which statement supports the claim that acupuncture relieves pain.

-It is ancient, alternative medicine that has been used for thousands of years.

-If you do research, you can find the specific types of pain that acupuncture will effectively relieve.

-A New York Times reporter wrote about the effectiveness of this treatment in relieving his surgery pain.

-The National Institutes of Health found it effective in reducing pain and other symptoms, but it is not clear how it works.",Biology,"I believe it would be the last one since it is from the national institutes of heath, and that it the most reliable source.",3,Ambitious,2,2,https://brainly.com/question/9428176,1522527013
"I NEED HELP RIGHT AWAY PLEASE!!!!!! 20 points
Read the passage below about acupuncture. 

Acupuncture is an alternative medicine that uses wire-thin needles inserted by a trained practitioner into specific points in the body. This ancient form of pain relief and stimulation is said to benefit patients by blocking channels which practitioners claim allow pain to travel within the body. This practice became more widely recognized and used after a New York Times reporter wrote in 1971 of a positive experience with it after surgery. 

Those who doubt the effectiveness of this treatment for pain attribute the pain relief to a placebo effect: if a patient believes something will reduce their pain, they will experience some relief. The National Institutes of Health says that acupuncture relieves pain and reduces nausea and vomiting, although it is unclear how it works. The few adverse effects reported are due to improperly sterilized needles or improper delivery, making this still a fairly low risk option. For anyone considering acupuncture, they should first research its effectiveness for their specific condition. 

-Summary of statements published by the National Institutes of Health

After reading the passage about acupuncture, identify which statement supports the claim that acupuncture relieves pain.

-It is ancient, alternative medicine that has been used for thousands of years.

-If you do research, you can find the specific types of pain that acupuncture will effectively relieve.

-A New York Times reporter wrote about the effectiveness of this treatment in relieving his surgery pain.

-The National Institutes of Health found it effective in reducing pain and other symptoms, but it is not clear how it works.",Biology,i think the answer would be the last one,0,Brainly User,0,1,https://brainly.com/question/9428176,1522527013
Which of the following statements describes rational use of national forests? A.only large businesses should be allowed to harvest trees in national forests. B. there should be no restrictions on the land. C.national forests should be protected to make the best use of the nation's natural resources. D. national forests should ban lumbering completely.,History,"the answer is c hope this helps
",5,Brainly User,13,47,https://brainly.com/question/995815,1455825021
"During the Panic of 1929, leading to Black Thursday, the heavy selling of stocks in a short period of time caused Prices of stock to drop
Businesses to issue more stocks
People to buy more shares
Prices of stock to rise",History,"Hi Dude !





The nation's leading bankers came together to buy stocks in orderto try to prevent a further collapse in prices. The Wall StreetCrash of 1929 is known as Black Thursday.





hope this benefits , thanks ♥",3,Brainly User,2,2,https://brainly.com/question/9981046,1525520999
"Purchasing power parity is used to compare the gross domestic product between
1)businesses.
2)consumers.
3)stock markets.
4)countries.",History,"3) is most likely the answer.

Hope this helped!

;D

Brainliest?????",5,Brainly User,3,1,https://brainly.com/question/9956599,1525396099
"Purchasing power parity is used to compare the gross domestic product between
1)businesses.
2)consumers.
3)stock markets.
4)countries.",History,3)stock markets is the answer,5,,1,1,https://brainly.com/question/9956599,1525396099
"Marty is a successful entrepreneur who opened a fast food restaurant selling soup and sandwiches. He opened his first restaurant in Colorado, and soon after expanded to New Mexico, Arizona, and Texas. What might be one reason why Marty's business is expanding?

Higher per capita incomes in Colorado, New Mexico, Arizona, and Texas than elsewhere

Reduced demand for soup and sandwiches in neighboring states

Absence of potential customers in other states


Positive shared experience spread among Marty's customer base through cultural diffusion",History,The answer to your question would be the last option. Positive shared experience,5,Beginner,5,6,https://brainly.com/question/9931955,1525280780
