question,subject,text,rating,reputation,num_upvotes,num_thanks,href,question_timestamp
"
Choose the best answer to the following question using either y or en.



Tu veux voire de limonade ?
",French,"Tu veux boire de la lemonade?(citronnade)

Oui j'EN veux

Non,je n'EN veux pas

",0,Expert,0,0,https://brainly.com/question/10322363,1527644080
"
Choose the best answer to the following question using either y or en.



Tu veux voire de limonade ?
",French,"Hi,Choose the best answer to the following question using either y or en.
Tu veux boire de la limonade?

Oui, j'en veux.

Or : 

Non, je n'en veux pas.


",5,Ace,1,0,https://brainly.com/question/10322363,1527644080
Which two statements accurately describe the early history of lyric poetry?,English,A&C for platooooooooooo,4,Ambitious,3,2,https://brainly.com/question/9931500,1525278707
Which two statements accurately describe the early history of lyric poetry?,English,yea there right it is a and c,4,Ambitious,1,1,https://brainly.com/question/9931500,1525278707
Please someone help me I hate python,Computers and technology,"Python is actually an easy language to learn and use. IDLE is an iffy IDE to use. One thing about IDLE that drives me nuts is that when it saves a file, it converts tabs to spaces (you can adjust how many in the prefs). This causes impossible to find indentation errors because several spaces are NOT the same as a tab, but you can't see the difference on the screen.

# the standard way to put the main function after declaring functions and
# classes
if( __name__ == ""__main__"" ):

import sys
# check that the program was called with the correct number of arguments
if( len( sys.argv ) != 2 ):
    sys.stderr.write( ""\nusage:  %s <argument>\n"" % ( sys.argv[ 0 ] ) )
    sys.exit( 1 )
else:
    # do something nifty
    sys.exit( 0 )


",0,Ambitious,0,1,https://brainly.com/question/7485605,1512417554
Why were Chinese leaders concerned about U.N. forces invading North Korea?,History,They were worried that the enemys would invade them next.,3,Helping Hand,9,8,https://brainly.com/question/995310,1455814840
"Under New Deal reforms, the biggest change to the traditional role of the federal government was

a higher degree of government regulation of business and the economy.

a lower degree of government regulation of business and the economy.

decreased government support for private/public partnerships.

increased government support of laissez-faire capitalism.",History,A higher degree of government regulation of business and the economy.Hopefully this helped you!,5,Ace,4,2,https://brainly.com/question/9910846,1525186847
"Which sentence has a subject-verb agreement error?
A)	Some of the collected speeches of Mr. Max Jones were published in one volume by his friends. 
B)	Neither the coach nor his players knows whether or not this season will end in a championship ring or not.	
C)	The doctors who mistakenly prescribed asthma medicine instead of antibiotics were successfully sued by all the victims.	
D)	The many reasons for why Janice Shuster has been so successful are obvious to anyone with even a cursory knowledge of her life story",English,"B)	Neither the coach nor his players knows whether or not this season will end in a championship ring or not.

The subject and verb don't agree in this statement, because the verb should be ""know"". It should read: 
""Neither the coach nor his players know whether or not..."" ",5,Brainly Teacher,2,2,https://brainly.com/question/9608643,1523574974
What impact did the atlantic slave trade have on the nations of the west african interior?,History,"Some African nations lost some ethnic groups to the slave trade as well as some African nations had in influx of white persons to ""civilize"" the countries.
After the slave trade returning Africans created nations such as Liberia.
",0,Beginner,0,0,https://brainly.com/question/10364695,1528008015
"The use of technology such as telephones and computers means that money exchanges and other financial transactions can be
a. sensitive to variations in any currency
b. made instantaneously
c. based on US dollars all over the world
d. converted to prices in any currency",History,I think the correct answer from the choices listed above is option B. The use of technology such as telephones and computers means that money exchanges and other financial transactions can be made instantaneously. Transactions are much easier with these advancements.,1,Ambitious,19,9,https://brainly.com/question/1675477,1472638761
