"Question","Average IDF","Entropy","Polarity","Subjectivity"
"\n1 a serial data line or bus is used for which of the following purposes \nc transmit pulses from the ignition primary coil to the tachometer\n\n12 gm class 2 communication toggles between \nb 0 and 12 v\n\n3 technician a says that module communications networks are used to reduce the number of wires in a vehicle technician b says that a communications network is used to share data from sensors which can be used by many different modules which technician is correct \na technician b only\n\n4 a magnetic field is created around a wire when \na the wire is connected between two grounds\n\n5 in most automotive electrical circuits a relay is used in which of the following situations \nc a lower-voltage circuit controls a higher-voltage circuit\n\n6 a diagnostic scan tool connects to the vehicle using the \nc data link connector\n\n7 a diode with high resistance or an infinite reading in both directions is \nc reverse biased\n\n8 two technicians are discussing how capacitors work technician a says that in an open circuit a capacitor will hold its charge until its connected to an external circuit technician b says that theoretically a capacitor will hold its charge indefinitely who is correct \n\na technician a\n\n9 all of the following can be added to a circuit to reduce electromagnetic interference except \nc a diode\n\n10 technician a says when you push the horn button electromagnetism moves an iron bar inside the horn which opens and closes contacts in the horn circuit technician b says most vehicle horn circuits use a relay which technician is correct \nb both technician a and technician b\n\n11 a/an _______ is a material with four electrons in the valence ring \nd conductor\n\n\n1 technician a says that dynamic voltage is the voltage (usually of a battery) that exists without a load being applied technician b says that open circuit voltage (ocv) is the voltage of the power source (battery) with the circuit in operation who is correct \n\na both technicians a and b\n\n2 a technician connects one lead of a digital voltmeter to the positive (+) terminal of the battery and the other meter lead to the battery terminal (b) of the starter solenoid and then cranks the engine during cranking the voltmeter displays a reading of 878 mv technician a says that this reading indicates that the resistance of positive battery cable is too high technician b says that this reading indicates that the starter is defective which technician is correct \nb technician a only\n""","-3.3213223025241776","1.2869781328602243","0.10452479338842972","0.4119352617079889"
"\nchoices picture ill need one or the other to help\n\n\n","-3.715908126501856","0.02355248562789516","-0.328125","0.6875"
"\nthe lines from this excerpt that suggest that mr darcy is questioning his hasty judgment and has fallen in love with elizabeth are the following one: ""but no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes"" this is the moment he realized that he was wrong about her and that there is more to her than he originally thought he realized that he has already fallen in love with her despite her flaws\n","-3.4911220891901427","0.192594563274697","0.28194444444444444","0.6062500000000001"
"\nthough he had detected with a critical eye more than one failure of perfect symmetry in her form he was forced to acknowledge her figure to be light and pleasing\n","-4.5428663026519365","0.02553918693731061","0.21388888888888888","0.5833333333333334"
"\ncommunism was the main cause of conflict that led to nuclear threats\n","-5.092465312343887","0.009158172614756948","0.16666666666666666","0.3333333333333333"
"\nthe answer is c sociology\n","-2.0099154790312257","0.07038765458594512","0.0","0.0"
"\nthe steps in the order that makes the most sense for separating the salt from the mixture are 3 1 2 4\xc2\xa0\n","-3.3887748616635984","0.06195031369798029","0.5","0.5"
"if the united states imports more goods from japan than it exports to japan how will the difference be financed\xc2\xa0the united states will sell the assets they receive so that americans who want the\xc2\xa0product are obligate to pay for future\xc2\xa0imports of those items\xc2\xa0basically the united states will make sure americans are wanting and willing to pay for the items they are importing for us to have from japan or they will stop important those items since we important more than we export we are always owing japan money for the difference in items that we can not evenly trade\xc2\xa0","-4.529391877101013","0.09870928372840333","0.425","0.7731481481481483"
"\nb still mechanics just ones with the electrical knowledge of cars which will cost alot more resulting in better pay\n","-4.748271029628765","0.020781008430833674","0.5","0.5"
"\ni can try my best i do need help with my history work i go to online school too\n","-3.6461683360208865","0.050502428739171136","1.0","0.3"
"\nsure (:  im in chems honors  so hmu\n""","-1.789761466565382","0.2022332368337959","0.625","0.8888888888888888"
"\nwater is wet water will always be wet nvm its not wet its dry\n","-4.909659376756253","0.01146161520279728","-0.05416666666666667","0.45000000000000007"
"\n\xc2\xa0actually the industrial revolution at first helped expand slavery","-4.1087332996742","0.020591282703353586","0.125","0.21666666666666667"
"\nthe first major red scare in american history took place during the decade of probably the 40s\n","-3.361976668508874","0.06397765337010183","0.078125","0.20833333333333331"
"\nthe first major red scare in american history took place during the decade of the 1940s this is defined that a ""red scare"" is promotion of widespread fear by a society or state about a potential rise of communism anarchism or radical leftism\n","-3.265307660969506","0.14581335032245968","0.052083333333333336","0.3055555555555555"
"\nthat would be 4 * 3 * 5 * 2\xc2\xa0 = 120 answer\n","-2.997400330654688","0.09064134469364814","0.0","0.0"
"\nconduction is your answer (letter b)\n\n","-1.6637432572916426","0.1610436585893203","0.0","0.0"
"i believe the answer is d) radiation in physics radiation is the emission or transmission of energy in\nthe form of waves or particles through space or through a material\nmedium\n~decepti\xc3\xb8n\n\n","-2.820099704910833","0.11267706311146987","0.0","0.0"
"\na per son who exhibits a systom of a personality disorder is narcissism\n","-4.8283137373023015","0.012261556697523867","0.0","0.0"
"\nthe first thing we must do for this case is to define a variable\n\xc2\xa0we have then:\n\xc2\xa0x: time it takes the trainee to do the work alone\n\xc2\xa0for this case we have the following equation:\n\xc2\xa07/21 + 7 / x = 7/12\n\xc2\xa0solving for x we have:\n\xc2\xa0x = 28 hours\n\xc2\xa0answer:\n\xc2\xa0it would take the trainee working by herself about:\n\xc2\xa0x = 28 hours","-2.583160693394131","0.4410154415319582","0.125","0.21666666666666667"
